u	q	r
29	9184	0.46153846153846156
178	9184	0.46153846153846156
14	9186	0.08333333333333333
44	9186	0.08333333333333333
51	9186	0.08333333333333333
58	9186	0.4166666666666667
75	9186	0.08333333333333333
136	9186	0.08333333333333333
182	9186	0.08333333333333333
194	9186	0.08333333333333333
3	9187	0.25
176	9187	0.75
3	9188	0.25
9	9188	0.75
25	9189	0.2
127	9189	0.2
183	9189	0.6
46	9190	0.07142857142857142
134	9190	0.07142857142857142
140	9190	0.21428571428571427
184	9190	0.2857142857142857
202	9190	0.21428571428571427
401	9190	0.07142857142857142
1992	9190	0.07142857142857142
7	9192	0.07142857142857142
99	9192	0.14285714285714285
100	9192	0.42857142857142855
176	9192	0.07142857142857142
351	9192	0.07142857142857142
550	9192	0.14285714285714285
1471	9192	0.07142857142857142
29	9193	0.16666666666666666
58	9193	0.16666666666666666
87	9193	0.3333333333333333
323	9193	0.3333333333333333
3	9194	0.5
176	9194	0.5
11	9195	0.2
14	9195	0.2
57	9195	0.2
102	9195	0.2
183	9195	0.2
226	9196	0.5
81	9196	0.5
25	9197	0.36363636363636365
162	9197	0.36363636363636365
1034	9197	0.09090909090909091
4120	9197	0.09090909090909091
19870	9197	0.09090909090909091
25	9198	0.2857142857142857
162	9198	0.2857142857142857
185	9198	0.42857142857142855
3	9200	0.5
188	9200	0.5
3	9201	0.07142857142857142
11	9201	0.2857142857142857
25	9201	0.07142857142857142
189	9201	0.5
351	9201	0.07142857142857142
134	9202	0.6666666666666666
139	9202	0.3333333333333333
11	9204	0.3333333333333333
14	9204	0.16666666666666666
15	9204	0.5
3	9205	0.3333333333333333
134	9205	0.3333333333333333
78	9205	0.3333333333333333
3	9206	0.2222222222222222
176	9206	0.4444444444444444
240	9206	0.2222222222222222
1606	9206	0.1111111111111111
29	9207	0.0625
62	9207	0.0625
139	9207	0.0625
198	9207	0.0625
270	9207	0.0625
939	9207	0.0625
1034	9207	0.125
1052	9207	0.25
6861	9207	0.0625
8696	9207	0.0625
21535	9207	0.0625
75	9207	0.0625
22	9208	0.2857142857142857
30	9208	0.2857142857142857
422	9208	0.14285714285714285
875	9208	0.14285714285714285
36355	9208	0.14285714285714285
25	9209	0.5
183	9209	0.5
3	9210	0.16666666666666666
11	9210	0.16666666666666666
14	9210	0.16666666666666666
144	9210	0.16666666666666666
193	9210	0.3333333333333333
7	9211	0.25
91	9211	0.25
189	9211	0.5
44	9212	0.5
168	9212	0.5
3	9213	0.2
7	9213	0.2
196	9213	0.6
14	9214	0.2
168	9214	0.6
216	9214	0.2
3	9215	0.2
11	9215	0.2
122	9215	0.2
199	9215	0.4
14	9216	0.5
31	9216	0.5
14	9217	0.6
49	9217	0.2
1210	9217	0.1
3415	9217	0.1
38	9218	0.25
42	9218	0.5
203	9218	0.25
12	9219	0.125
25	9219	0.375
120	9219	0.25
304	9219	0.25
39	9220	0.4
154	9220	0.4
331	9220	0.2
14	9221	0.16666666666666666
25	9221	0.16666666666666666
84	9221	0.16666666666666666
134	9221	0.16666666666666666
5132	9221	0.16666666666666666
47	9221	0.16666666666666666
25	9222	0.5
185	9222	0.5
12	9223	0.375
193	9223	0.5
194	9223	0.125
3	9224	0.07142857142857142
26	9224	0.21428571428571427
30	9224	0.07142857142857142
58	9224	0.2857142857142857
139	9224	0.07142857142857142
171	9224	0.14285714285714285
193	9224	0.07142857142857142
194	9224	0.07142857142857142
14	9225	0.5
33	9225	0.5
3	9226	0.5
74	9226	0.5
38	9228	0.5
74	9228	0.5
3	9229	0.25
101	9229	0.25
154	9229	0.25
5132	9229	0.25
128	9230	0.5555555555555556
134	9230	0.3333333333333333
269	9230	0.1111111111111111
23	9231	0.16666666666666666
105	9231	0.3333333333333333
207	9231	0.5
25	9232	0.125
51	9232	0.125
52	9232	0.125
58	9232	0.375
134	9232	0.125
2975	9232	0.125
39	9233	0.5
208	9233	0.5
11	9234	0.3333333333333333
209	9234	0.6666666666666666
8	9235	0.3333333333333333
11	9235	0.3333333333333333
3	9235	0.3333333333333333
18	9236	0.42857142857142855
75	9236	0.42857142857142855
91	9236	0.14285714285714285
91	9237	0.3333333333333333
4628	9237	0.3333333333333333
211	9237	0.3333333333333333
2	9238	0.16666666666666666
162	9238	0.6666666666666666
189	9238	0.16666666666666666
14	9239	0.4
74	9239	0.5
122	9239	0.1
19	9240	0.5
213	9240	0.5
30	9241	0.5714285714285714
170	9241	0.42857142857142855
3	9242	0.23076923076923078
122	9242	0.07692307692307693
189	9242	0.23076923076923078
212	9242	0.46153846153846156
3	9243	0.14285714285714285
189	9243	0.5714285714285714
198	9243	0.14285714285714285
2519	9243	0.14285714285714285
11	9244	0.25
14	9244	0.125
25	9244	0.125
74	9244	0.5
139	9245	0.5
214	9245	0.5
3	9246	0.5
215	9246	0.5
72	9247	0.3333333333333333
77	9247	0.6666666666666666
173	9248	0.3333333333333333
36100	9248	0.3333333333333333
216	9248	0.3333333333333333
3	9249	0.5
189	9249	0.5
25	9251	0.08333333333333333
134	9251	0.3333333333333333
139	9251	0.4166666666666667
266	9251	0.08333333333333333
393	9251	0.08333333333333333
3	9252	0.25
144	9252	0.25
221	9252	0.5
10	9253	0.3333333333333333
134	9253	0.3333333333333333
222	9253	0.3333333333333333
3	9254	0.5
68	9254	0.5
14	9255	0.1
68	9255	0.2
100	9255	0.1
113	9255	0.1
223	9255	0.3
353	9255	0.2
3	9256	0.16666666666666666
19	9256	0.16666666666666666
91	9256	0.16666666666666666
10551	9256	0.16666666666666666
22193	9256	0.16666666666666666
165	9256	0.16666666666666666
14	9257	0.2727272727272727
26	9257	0.36363636363636365
57	9257	0.09090909090909091
79	9257	0.09090909090909091
134	9257	0.18181818181818182
3	9259	0.16666666666666666
14	9259	0.16666666666666666
92	9259	0.3333333333333333
139	9259	0.16666666666666666
180	9259	0.16666666666666666
3	9260	0.4
127	9260	0.2
795	9260	0.2
224	9260	0.2
3	9261	0.1
11	9261	0.1
38	9261	0.1
126	9261	0.5
134	9261	0.2
225	9262	1.0
3	9263	0.3333333333333333
25	9263	0.6666666666666666
3	9264	0.4
134	9264	0.2
226	9264	0.4
11	9265	0.09090909090909091
12	9265	0.5454545454545454
13	9265	0.18181818181818182
14	9265	0.18181818181818182
13	9268	0.2
25	9268	0.2
61	9268	0.6
3	9270	0.5
19	9270	0.3333333333333333
149	9270	0.16666666666666666
3	9272	0.3333333333333333
196	9272	0.6666666666666666
14	9273	0.2
31	9273	0.1
79	9273	0.1
121	9273	0.5
168	9273	0.1
230	9274	0.6666666666666666
32370	9274	0.3333333333333333
3	9275	0.16666666666666666
14	9275	0.16666666666666666
196	9275	0.6666666666666666
3	9276	0.25
14	9276	0.25
560	9276	0.25
231	9276	0.25
61	9277	0.2
79	9277	0.2
304	9277	0.2
35397	9277	0.2
74	9277	0.2
18	9278	0.5714285714285714
57	9278	0.2857142857142857
178	9278	0.14285714285714285
11	9279	0.3333333333333333
31	9279	0.16666666666666666
232	9279	0.5
8	9280	0.07142857142857142
11	9280	0.21428571428571427
189	9280	0.42857142857142855
356	9280	0.07142857142857142
447	9280	0.07142857142857142
1746	9280	0.07142857142857142
2028	9280	0.07142857142857142
57	9281	0.5
155	9281	0.5
91	9282	0.2
209	9282	0.4
1123	9282	0.2
1395	9282	0.2
39	9283	0.4
155	9283	0.6
81	9284	0.3333333333333333
97	9284	0.3333333333333333
233	9284	0.3333333333333333
10	9285	0.25
12	9285	0.25
25	9285	0.25
235	9285	0.25
14	9287	0.2857142857142857
84	9287	0.2857142857142857
113	9287	0.14285714285714285
134	9287	0.14285714285714285
162	9287	0.14285714285714285
14	9289	0.1875
25	9289	0.0625
29	9289	0.125
49	9289	0.1875
60	9289	0.1875
1140	9289	0.0625
1685	9289	0.0625
6861	9289	0.125
30	9290	0.1111111111111111
84	9290	0.3333333333333333
163	9290	0.4444444444444444
164	9290	0.1111111111111111
196	9291	0.1111111111111111
238	9291	0.5555555555555556
240	9291	0.3333333333333333
215	9292	0.3333333333333333
250	9292	0.16666666666666666
2967	9292	0.3333333333333333
4059	9292	0.16666666666666666
39	9293	0.25
79	9293	0.25
219	9293	0.5
79	9294	0.15384615384615385
239	9294	0.15384615384615385
736	9294	0.07692307692307693
1917	9294	0.15384615384615385
4327	9294	0.07692307692307693
4959	9294	0.15384615384615385
9591	9294	0.07692307692307693
18980	9294	0.07692307692307693
26970	9294	0.07692307692307693
9	9295	0.2222222222222222
10	9295	0.1111111111111111
25	9295	0.1111111111111111
57	9295	0.2222222222222222
79	9295	0.1111111111111111
178	9295	0.1111111111111111
356	9295	0.1111111111111111
3	9297	0.3333333333333333
97	9297	0.3333333333333333
242	9297	0.3333333333333333
52	9299	0.3333333333333333
3477	9299	0.3333333333333333
26	9299	0.3333333333333333
39	9300	0.45454545454545453
219	9300	0.5454545454545454
3	9301	0.2222222222222222
30	9301	0.2222222222222222
51	9301	0.2222222222222222
58	9301	0.2222222222222222
176	9301	0.1111111111111111
3	9302	0.4
104	9302	0.2
189	9302	0.2
243	9302	0.2
3	9303	0.6666666666666666
189	9303	0.3333333333333333
162	9304	0.25
334	9304	0.25
4680	9304	0.25
245	9304	0.25
30	9305	0.4444444444444444
84	9305	0.1111111111111111
351	9305	0.1111111111111111
358	9305	0.1111111111111111
582	9305	0.1111111111111111
5289	9305	0.1111111111111111
3	9306	0.3333333333333333
196	9306	0.6666666666666666
3	9307	0.3333333333333333
58	9307	0.3333333333333333
196	9307	0.3333333333333333
13	9308	0.2
101	9308	0.2
149	9308	0.4
66	9308	0.2
18	9310	0.3333333333333333
56	9310	0.6666666666666666
14	9311	0.3
26	9311	0.3
51	9311	0.1
249	9311	0.2
251	9311	0.1
102	9312	0.3333333333333333
134	9312	0.3333333333333333
189	9312	0.3333333333333333
170	9313	0.6666666666666666
306	9313	0.3333333333333333
61	9314	0.14285714285714285
134	9314	0.14285714285714285
139	9314	0.14285714285714285
162	9314	0.5714285714285714
3	9315	0.3333333333333333
38	9315	0.16666666666666666
189	9315	0.3333333333333333
2967	9315	0.16666666666666666
2	9316	0.47619047619047616
189	9316	0.42857142857142855
279	9316	0.047619047619047616
1931	9316	0.047619047619047616
97	9317	0.5
216	9317	0.5
58	9318	0.16666666666666666
79	9318	0.3333333333333333
146	9318	0.5
30	9320	0.25
146	9320	0.5
3217	9320	0.25
128	9321	0.1111111111111111
134	9321	0.1111111111111111
252	9321	0.4444444444444444
334	9321	0.3333333333333333
3	9322	0.14285714285714285
84	9322	0.14285714285714285
122	9322	0.14285714285714285
253	9322	0.5714285714285714
30	9323	0.5
84	9323	0.125
176	9323	0.125
5249	9323	0.25
91	9324	0.25
256	9324	0.5
15401	9324	0.25
3	9325	0.3333333333333333
25	9325	0.3333333333333333
176	9325	0.3333333333333333
6	9327	0.25
38	9327	0.5
134	9327	0.25
3	9328	0.3333333333333333
275	9328	0.3333333333333333
26	9328	0.3333333333333333
258	9329	1.0
12	9331	0.08333333333333333
128	9331	0.25
139	9331	0.16666666666666666
163	9331	0.5
127	9332	0.3333333333333333
506	9332	0.3333333333333333
196	9332	0.3333333333333333
3	9333	0.5
171	9333	0.5
60	9334	0.5
139	9334	0.5
91	9335	0.2
254	9335	0.6
321	9335	0.2
14	9336	0.25
113	9336	0.125
180	9336	0.125
260	9336	0.25
351	9336	0.125
23789	9336	0.125
3	9337	0.07692307692307693
11	9337	0.15384615384615385
122	9337	0.15384615384615385
252	9337	0.3076923076923077
1973	9337	0.07692307692307693
5184	9337	0.07692307692307693
21851	9337	0.07692307692307693
27241	9337	0.07692307692307693
122	9338	0.5
4023	9338	0.2
7361	9338	0.2
261	9338	0.1
3	9339	0.3
2575	9339	0.1
5132	9339	0.2
5270	9339	0.1
17746	9339	0.1
22444	9339	0.1
26450	9339	0.1
275	9341	0.5
224	9341	0.5
12	9342	0.25
14	9342	0.25
176	9342	0.5
14	9343	0.36363636363636365
25	9343	0.18181818181818182
152	9343	0.09090909090909091
183	9343	0.2727272727272727
198	9343	0.09090909090909091
134	9345	0.3333333333333333
3527	9345	0.3333333333333333
166	9345	0.3333333333333333
3	9347	0.25
26	9347	0.5
263	9347	0.25
14	9348	0.375
30	9348	0.375
84	9348	0.25
3	9349	0.42857142857142855
25	9349	0.14285714285714285
51	9349	0.14285714285714285
79	9349	0.2857142857142857
25	9350	0.09090909090909091
134	9350	0.09090909090909091
252	9350	0.09090909090909091
264	9350	0.18181818181818182
798	9350	0.18181818181818182
875	9350	0.09090909090909091
1445	9350	0.09090909090909091
1973	9350	0.09090909090909091
3008	9350	0.09090909090909091
14	9353	0.4166666666666667
49	9353	0.5
79	9353	0.08333333333333333
3	9356	0.42857142857142855
26	9356	0.5714285714285714
3	9357	0.2
25	9357	0.2
252	9357	0.6
3	9358	0.25
58	9358	0.5
113	9358	0.25
134	9359	0.42857142857142855
269	9359	0.42857142857142855
323	9359	0.14285714285714285
3	9361	0.16666666666666666
7	9361	0.16666666666666666
26	9361	0.3333333333333333
113	9361	0.3333333333333333
134	9362	0.5
162	9362	0.5
134	9363	0.5
212	9363	0.5
3	9364	0.125
113	9364	0.25
139	9364	0.125
257	9364	0.125
264	9364	0.25
4059	9364	0.125
146	9365	0.5
265	9365	0.5
139	9366	0.5
146	9366	0.5
134	9367	0.3333333333333333
139	9367	0.6666666666666666
3	9368	0.25
91	9368	0.25
254	9368	0.5
155	9369	0.5
58	9369	0.5
2	9370	0.125
14	9370	0.125
26	9370	0.125
58	9370	0.125
139	9370	0.375
264	9370	0.125
26	9371	0.46153846153846156
79	9371	0.38461538461538464
139	9371	0.15384615384615385
3	9372	0.3333333333333333
29	9372	0.3333333333333333
274	9372	0.3333333333333333
14	9373	0.25
30	9373	0.25
58	9373	0.25
180	9373	0.125
1233	9373	0.125
25	9374	0.25
86	9374	0.75
237	9375	1.0
3	9376	0.25
14	9376	0.25
183	9376	0.5
29	9377	0.125
139	9377	0.125
875	9377	0.375
5132	9377	0.125
32033	9377	0.125
176	9377	0.125
139	9378	0.3333333333333333
247	9378	0.6666666666666666
139	9379	0.5
247	9379	0.5
3	9380	0.5
61	9380	0.5
25	9381	0.2857142857142857
113	9381	0.14285714285714285
277	9381	0.5714285714285714
134	9382	0.5
297	9382	0.5
46	9383	0.16666666666666666
62	9383	0.16666666666666666
279	9383	0.6666666666666666
2	9384	0.125
8	9384	0.125
30	9384	0.125
113	9384	0.25
146	9384	0.375
12	9385	0.25
25	9385	0.25
26	9385	0.5
128	9386	0.4
134	9386	0.4
334	9386	0.2
240	9387	0.3333333333333333
280	9387	0.6666666666666666
99	9388	0.5
134	9388	0.5
134	9389	0.5
201	9389	0.5
281	9390	1.0
14	9391	0.5
265	9391	0.25
176	9391	0.25
152	9392	0.25
198	9392	0.25
12636	9392	0.25
51	9392	0.25
84	9393	0.5
74	9393	0.5
134	9394	0.4
145	9394	0.4
162	9394	0.2
3	9395	0.25
26	9395	0.5
282	9395	0.25
10	9396	0.1
14	9396	0.2
51	9396	0.1
128	9396	0.2
244	9396	0.2
297	9396	0.1
20955	9396	0.1
29	9398	0.2
146	9398	0.6
606	9398	0.2
152	9399	0.5
283	9399	0.5
9	9400	0.14285714285714285
84	9400	0.2857142857142857
285	9400	0.42857142857142855
551	9400	0.14285714285714285
3	9401	0.3333333333333333
122	9401	0.3333333333333333
