uid,score_t
user_7,0.8706441786254298
user_117,0.16397110660982353
user_7276,0.12297832995736764
user_3094,0.12004985438741485
user_27,0.08508535508357751
user_3,0.06773395613411544
user_31282,0.05499758110881457
user_1990,0.05499758110881457
user_1325,0.03972385247244429
user_131,0.03748080993076575
user_1919,0.036931588299974116
user_550,0.03513666570210504
user_331,0.031602423582417584
user_77,0.03123259173520448
user_81,0.028414920609488685
user_5890,0.027343560923237597
user_196,0.026954556941051866
user_33207,0.022723065069560018
user_2034,0.020578307702454134
user_12,0.01868560810772608
user_23668,0.017612631033406694
user_29,0.015790740269199043
user_26,0.015188294040269109
user_2349,0.011309528916331552
user_1314,0.010287471539912042
user_3362,0.010080688998240503
user_39,0.009846888493922061
user_2651,0.009706749586766397
user_91,0.009220753926003805
user_25,0.008957820444024975
user_14,0.008573168398845256
user_1687,0.008365267177687943
user_189,0.008053439962892364
user_18839,0.006699205592976225
user_50,0.006165042178337313
user_100,0.006011312750578024
user_99,0.006007899022514261
user_119,0.004530340388661124
user_113,0.00401768011790302
user_1165,0.003857938288655711
user_57,0.003613475427023959
user_141,0.0034688847009842257
user_21,0.003217831773868617
user_4846,0.0028890600419578753
user_62,0.00270749255484166
user_11096,0.002472954777564877
user_1471,0.0023687514125614773
user_2186,0.0021532185092603792
user_9,0.001399876147994609
user_3632,0.0011395205603139222
user_5184,0.0010197057003950034
user_176,0.000893550447995673
user_351,0.0005107993359513681
user_1034,0.0003293094229484326
user_11,0
user_139,0
user_6791,0
user_28,0
user_31,0
user_44,0
user_51,0
user_437,0
user_23111,0
user_19,0
user_97,0
user_198,0
user_20,0
user_252,0
user_22,0
user_694,0
user_12166,0
user_26431,0
user_162,0
user_2,0
user_356,0
user_20682,0
user_35,0
user_121,0
user_597,0
user_3152,0
user_4120,0
user_7451,0
user_7711,0
user_14171,0
user_14216,0
user_20301,0
user_20674,0
user_22251,0
user_27141,0
user_27753,0
user_28181,0
user_28421,0
user_29699,0
user_47,0
user_5506,0
user_146,0
user_458,0
user_186,0
user_41,0
user_144,0
user_224,0
user_87,0
user_180,0
user_74,0
user_2444,0
user_2481,0
user_3585,0
user_58,0
user_84,0
user_134,0
user_323,0
user_36,0
user_82,0
user_88,0
user_152,0
user_157,0
user_164,0
user_170,0
user_4381,0
user_5383,0
user_79,0
user_92,0
user_2806,0
user_3813,0
user_59,0
user_105,0
user_55,0
user_4727,0
user_875,0
user_1518,0
user_2123,0
user_2573,0
user_3672,0
user_4117,0
user_5014,0
user_6427,0
user_7551,0
user_14361,0
user_18869,0
user_21281,0
user_27945,0
user_28263,0
user_28428,0
user_31807,0
user_120,0
user_7736,0
user_26450,0
user_26769,0
user_30895,0
user_32349,0
