uid,score_t
user_146,0.9414471823996423
user_1689,0.1348641999949722
user_35074,0.11238683332914351
user_107,0.04847492423456847
user_8,0.04840558465072611
user_265,0.04491458268039612
user_28388,0.04156066566720535
user_176,0.036678658182660286
user_3217,0.03588100007066096
user_26981,0.035539837233381756
user_14,0.035173559551003
user_139,0.03109783022162462
user_1638,0.028311493911135136
user_1770,0.025350118367751553
user_266,0.02503619652933073
user_2,0.01891162225532379
user_81,0.017311792235843573
user_18,0.017054525903751776
user_26759,0.016494166854550154
user_351,0.016468943662292474
user_22287,0.015567260082818215
user_1112,0.01547372012328005
user_79,0.014693406596180746
user_286,0.014104456514624993
user_3,0.013959899498575096
user_113,0.01394082575141467
user_29,0.013210913763870062
user_1165,0.012587529354475331
user_2018,0.012529886217070456
user_23432,0.010806971824127851
user_606,0.009805833596262293
user_401,0.009802247276152273
user_708,0.009314079822227914
user_4408,0.008861251063416965
user_30,0.008711772217444121
user_32710,0.008503734627808887
user_61,0.008453495821365191
user_58,0.008293217143584932
user_26092,0.008245799260698699
user_356,0.008195158485528342
user_961,0.0070577426787440155
user_27,0.0069467077541284636
user_25,0.005995846461355667
user_636,0.005781592230007883
user_13706,0.0053857734280549656
user_6786,0.005134525720450712
user_51,0.005100210355591175
user_885,0.004293687300020299
user_18936,0.003681334465426132
user_162,0.0034000516782116703
user_19,0.0033056738031457724
user_6427,0.003195723792650798
user_21,0.0028233840892684767
user_57,0.0027347719040254717
user_22,0.0024458261884239153
user_5132,0.0019198432745646777
user_9,0.001210778072406273
user_1986,0.001167923039206456
user_458,0.0010954969100475083
user_84,0.00032486875596463136
user_122,0.00027315432878472867
user_11,0
user_6791,0
user_28,0
user_119,0
user_31,0
user_7,0
user_33207,0
user_44,0
user_437,0
user_23111,0
user_91,0
user_5184,0
user_23668,0
user_39,0
user_77,0
user_1687,0
user_2349,0
user_31282,0
user_97,0
user_198,0
user_20,0
user_252,0
user_694,0
user_1034,0
user_12166,0
user_26431,0
user_12,0
user_62,0
user_4846,0
user_5890,0
user_11096,0
user_18839,0
user_26,0
user_20682,0
user_35,0
user_121,0
user_597,0
user_3152,0
user_3632,0
user_4120,0
user_7451,0
user_7711,0
user_14171,0
user_14216,0
user_20301,0
user_20674,0
user_22251,0
user_27141,0
user_27753,0
user_28181,0
user_28421,0
user_29699,0
user_47,0
user_5506,0
user_2186,0
user_186,0
user_41,0
user_144,0
user_224,0
user_87,0
user_180,0
user_74,0
user_2444,0
user_2481,0
user_3585,0
user_134,0
user_323,0
user_36,0
user_82,0
user_88,0
user_152,0
user_157,0
user_164,0
user_170,0
user_4381,0
user_5383,0
user_92,0
user_2806,0
user_3813,0
user_59,0
user_105,0
user_55,0
user_4727,0
user_875,0
user_1518,0
user_2123,0
user_2573,0
user_3672,0
user_4117,0
