uid,score_t
user_146,0.9412441664449333
user_1689,0.13509073640091415
user_35074,0.11257561366742846
user_107,0.053870406152362674
user_8,0.04848689330917441
user_265,0.04499002737316988
user_28388,0.04163047666099877
user_3217,0.035941270719194174
user_26981,0.035599534818025504
user_14,0.03523264188541914
user_139,0.031150066402102924
user_176,0.030113281578694164
user_1638,0.028359049779020866
user_1770,0.025392699903143797
user_266,0.025078250758551097
user_2,0.018943388809653346
user_81,0.017340871496267524
user_18,0.017083173024362165
user_351,0.016496607158661823
user_22287,0.015593408987788226
user_1112,0.015499711905705704
user_79,0.01471808765699204
user_286,0.014128148294109142
user_3,0.013983348460270162
user_113,0.013964242674228182
user_29,0.013233104626407248
user_1165,0.012608673095065923
user_2018,0.012550933132342132
user_23432,0.01082512469610014
user_606,0.009822304819168334
user_401,0.00981871247498322
user_708,0.00932972502805468
user_4408,0.00887613563595831
user_14216,0.008776221192058611
user_30,0.008726405704815848
user_32710,0.008518018666714242
user_61,0.00846769547228136
user_58,0.008307147568452865
user_26092,0.008259650035987524
user_356,0.008208924197626182
user_961,0.007069597831264591
user_27,0.006958376397162032
user_636,0.005791303785220138
user_13706,0.0053948201117238305
user_6786,0.005143150374013116
user_51,0.0051087773683606615
user_279,0.004764281562076743
user_25,0.004468819728306303
user_885,0.0043008995660569595
user_21,0.004270570939916316
user_162,0.003405762871302406
user_19,0.003311226466214318
user_6427,0.0032010917686028837
user_57,0.00273936560196927
user_22,0.0024499345335170153
user_5132,0.0019230681066209827
user_9,0.0012128118613059695
user_1986,0.0011698848429151385
user_458,0.0010973370568969458
user_84,0.00032541445008050346
user_122,0.0002736131562564571
user_11,0
user_6791,0
user_28,0
user_119,0
user_31,0
user_7,0
user_33207,0
user_44,0
user_437,0
user_23111,0
user_91,0
user_5184,0
user_23668,0
user_39,0
user_77,0
user_1687,0
user_2349,0
user_31282,0
user_97,0
user_198,0
user_20,0
user_252,0
user_694,0
user_1034,0
user_12166,0
user_26431,0
user_12,0
user_62,0
user_4846,0
user_5890,0
user_11096,0
user_18839,0
user_26,0
user_20682,0
user_35,0
user_121,0
user_597,0
user_3152,0
user_3632,0
user_4120,0
user_7451,0
user_7711,0
user_14171,0
user_20301,0
user_20674,0
user_22251,0
user_27141,0
user_27753,0
user_28181,0
user_28421,0
user_29699,0
user_47,0
user_5506,0
user_2186,0
user_186,0
user_41,0
user_144,0
user_224,0
user_87,0
user_180,0
user_74,0
user_2444,0
user_2481,0
user_3585,0
user_134,0
user_323,0
user_36,0
user_82,0
user_88,0
user_152,0
user_157,0
user_164,0
user_170,0
user_4381,0
user_5383,0
user_92,0
user_2806,0
user_3813,0
user_59,0
user_105,0
user_55,0
user_4727,0
user_875,0
user_1518,0
user_2123,0
user_2573,0
user_3672,0
user_4117,0
user_5014,0
