uid,score_t
user_5184,98.23179952415813
user_3,74.2346501938006
user_1034,60.54413390299753
user_875,23.21892376267614
user_25,19.297689749328217
user_11,17.814738330508913
user_14,17.011005083805845
user_134,16.275683927631036
user_26450,15.820680604201218
user_9651,15.25887651435453
user_189,13.18696586644533
user_10,12.986393833466728
user_351,12.855603463343689
user_9531,12.855603463343689
user_2868,11.463230981408838
user_317,10.833802325191716
user_139,10.807807088067218
user_393,10.553266968987746
user_3621,9.155325908612715
user_9,8.850148378325626
user_141,8.646696691467566
user_1272,8.065406157587393
user_390,7.68393424472853
user_198,6.866494431459538
user_28155,6.866494431459538
user_8296,6.50318784778443
user_1621,6.408728136028902
user_888,6.307002292599872
user_28742,6.242267664963217
user_84,6.070853013211051
user_19732,6.049054618190545
user_35424,5.722078692882948
user_2948,5.394667854454907
user_12141,5.340606780024085
user_20411,5.340606780024085
user_27161,5.340606780024085
user_33529,5.340606780024085
user_19474,5.231614804921552
user_1108,5.1171732310638935
user_200,4.755299812445437
user_28919,4.65032427104138
user_1453,4.5776629543063585
user_1483,4.5776629543063585
user_3089,4.5776629543063585
user_3287,4.5776629543063585
user_7096,4.5776629543063585
user_9331,4.5776629543063585
user_19018,4.5776629543063585
user_19856,4.5776629543063585
user_19948,4.5776629543063585
user_21503,4.5776629543063585
user_21605,4.5776629543063585
user_25641,4.5776629543063585
user_28194,4.5776629543063585
user_29160,4.5776629543063585
user_33779,4.5776629543063585
user_10171,4.359679004101293
user_1973,4.336064076162412
user_4160,4.323348345733783
user_11131,4.250687028998762
user_25225,4.196191041447495
user_295,4.119896658875723
user_21753,3.9673078937321775
user_5253,3.814719128588632
user_26373,3.814719128588632
user_394,3.662130363445087
user_19628,3.662130363445087
user_10301,3.5967351783835673
user_361,3.433247215729769
user_1655,3.433247215729769
user_1831,3.433247215729769
user_6531,3.433247215729769
user_34037,3.433247215729769
user_24235,3.375448441054184
user_907,3.3292094213137156
user_74,3.0517753028709054
user_232,3.0517753028709054
user_936,3.0517753028709054
user_969,3.0517753028709054
user_1267,3.0517753028709054
user_2394,3.0517753028709054
user_9541,3.0517753028709054
user_19636,3.0517753028709054
user_20010,3.0517753028709054
user_21124,3.0517753028709054
user_21299,3.0517753028709054
user_26128,3.0517753028709054
user_28655,3.0517753028709054
user_29080,3.0517753028709054
user_29800,3.0517753028709054
user_30434,3.0517753028709054
user_31325,3.0517753028709054
user_32093,3.0517753028709054
user_32112,3.0517753028709054
user_32200,3.0517753028709054
user_32260,3.0517753028709054
user_35379,3.0517753028709054
user_36311,3.0517753028709054
user_3462,3.0245273090952725
user_1250,2.975480920299133
user_2912,2.975480920299133
user_3729,2.9456265966840913
user_26115,2.942783327768373
user_538,2.9373337290132464
user_20,2.861039346441474
user_116,2.861039346441474
user_1279,2.861039346441474
user_5129,2.861039346441474
user_26182,2.861039346441474
user_30126,2.861039346441474
user_102,2.8483236160128453
user_5249,2.833791352665841
user_293,2.7972351837914333
user_1579,2.7972351837914333
user_203,2.746597772583815
user_1588,2.746597772583815
user_1614,2.746597772583815
user_1992,2.746597772583815
user_2716,2.746597772583815
user_3642,2.746597772583815
user_7136,2.746597772583815
user_22089,2.746597772583815
user_25514,2.746597772583815
user_26262,2.746597772583815
user_27142,2.746597772583815
user_35425,2.746597772583815
user_21582,2.704982654817394
user_406,2.615807402460776
user_9456,2.615807402460776
user_22300,2.615807402460776
user_31473,2.615807402460776
user_33782,2.5431460857257546
user_34104,2.5431460857257546
user_11691,2.4969070659852863
user_32206,2.4969070659852863
user_33213,2.4969070659852863
user_798,2.485017032337738
user_1277,2.4414202422967244
user_2087,2.4414202422967244
user_2104,2.4414202422967244
user_28044,2.4414202422967244
user_23660,2.427548536374584
user_1081,2.4196218472762183
user_1858,2.3976301575355143
user_91,2.3385886831782488
user_259,2.2888314771531793
user_345,2.2888314771531793
user_770,2.2888314771531793
user_1020,2.2888314771531793
user_1163,2.2888314771531793
