,A,A-q,B,B-q,C,C-q,D,D-q
4882,1.0,186938,100.0,186938,4.0,186938,100.0,186938
4883,100.0,72229,100.0,72229,100.0,72229,100.0,72229
4884,5.0,10815,8.0,10815,4.0,10815,8.0,10815
4885,5.0,188475,100.0,188475,8.0,188475,100.0,188475
4886,100.0,55859,9.0,55859,6.0,55859,2.0,55859
4887,1.0,81651,13.0,81651,5.0,81651,16.0,81651
4888,2.0,46326,100.0,46326,4.0,46326,64.0,46326
4889,2.0,172386,2.0,172386,2.0,172386,2.0,172386
4890,5.0,36024,8.0,36024,5.0,36024,5.0,36024
4891,0.0,12081,2.0,12081,1.0,12081,3.0,12081
4892,1.0,272783,3.0,272783,1.0,272783,18.0,272783
4893,31.0,175013,52.0,175013,24.0,175013,14.0,175013
4894,12.0,57167,35.0,57167,20.0,57167,55.0,57167
4895,0.0,259129,7.0,259129,4.0,259129,100.0,259129
4896,0.0,153571,0.0,153571,0.0,153571,3.0,153571
4897,8.0,211757,15.0,211757,5.0,211757,30.0,211757
4898,100.0,247137,100.0,247137,80.0,247137,100.0,247137
4899,3.0,216092,2.0,216092,2.0,216092,4.0,216092
4900,100.0,255223,100.0,255223,0.0,255223,100.0,255223
4901,8.0,51660,9.0,51660,8.0,51660,18.0,51660
4902,100.0,217400,29.0,217400,13.0,217400,8.0,217400
4903,32.0,72550,100.0,72550,49.0,72550,100.0,72550
4904,0.0,229102,3.0,229102,0.0,229102,3.0,229102
4905,100.0,213443,100.0,213443,1.0,213443,1.0,213443
4906,56.0,174878,100.0,174878,100.0,174878,100.0,174878
4907,13.0,31132,6.0,31132,2.0,31132,12.0,31132
4908,100.0,60097,100.0,60097,100.0,60097,100.0,60097
4909,8.0,44032,56.0,44032,16.0,44032,55.0,44032
4910,100.0,293846,1.0,293846,5.0,293846,1.0,293846
4911,2.0,130726,3.0,130726,2.0,130726,1.0,130726
4912,100.0,245673,100.0,245673,12.0,245673,100.0,245673
4913,3.0,292754,1.0,292754,3.0,292754,1.0,292754
4914,0.0,65295,0.0,65295,0.0,65295,5.0,65295
4915,1.0,224675,4.0,224675,1.0,224675,1.0,224675
4916,4.0,10680,4.0,10680,2.0,10680,39.0,10680
4917,6.0,12347,36.0,12347,8.0,12347,59.0,12347
4918,100.0,259715,100.0,259715,5.0,259715,58.0,259715
4919,15.0,140561,5.0,140561,20.0,140561,2.0,140561
4920,100.0,197446,2.0,197446,1.0,197446,2.0,197446
4921,1.0,11091,7.0,11091,1.0,11091,25.0,11091
4922,62.0,227059,12.0,227059,18.0,227059,13.0,227059
4923,23.0,61669,100.0,61669,38.0,61669,100.0,61669
4924,100.0,37009,40.0,37009,8.0,37009,38.0,37009
4925,1.0,129911,11.0,129911,2.0,129911,99.0,129911
4926,100.0,187446,19.0,187446,44.0,187446,33.0,187446
4927,4.0,121971,8.0,121971,3.0,121971,9.0,121971
4928,100.0,215256,12.0,215256,0.0,215256,20.0,215256
4929,0.0,28981,0.0,28981,0.0,28981,5.0,28981
4930,6.0,173485,87.0,173485,8.0,173485,100.0,173485
4931,100.0,204017,1.0,204017,0.0,204017,1.0,204017
4932,3.0,284842,1.0,284842,5.0,284842,6.0,284842
4933,2.0,110451,13.0,110451,3.0,110451,20.0,110451
4934,100.0,41908,100.0,41908,100.0,41908,100.0,41908
4935,100.0,12039,100.0,12039,19.0,12039,20.0,12039
4936,10.0,123761,7.0,123761,10.0,123761,13.0,123761
4937,21.0,256634,4.0,256634,10.0,256634,7.0,256634
4938,9.0,33764,43.0,33764,16.0,33764,100.0,33764
4939,8.0,10454,16.0,10454,8.0,10454,25.0,10454
4940,5.0,44209,22.0,44209,2.0,44209,30.0,44209
4941,0.0,200404,0.0,200404,0.0,200404,0.0,200404
4942,10.0,237798,69.0,237798,38.0,237798,100.0,237798
4943,0.0,264600,0.0,264600,0.0,264600,0.0,264600
4944,1.0,60243,55.0,60243,1.0,60243,67.0,60243
4945,100.0,10141,100.0,10141,100.0,10141,100.0,10141
4946,13.0,33621,30.0,33621,11.0,33621,23.0,33621
4947,14.0,173893,13.0,173893,10.0,173893,14.0,173893
4948,0.0,261052,22.0,261052,12.0,261052,94.0,261052
4949,48.0,10842,100.0,10842,6.0,10842,18.0,10842
4950,49.0,11750,100.0,11750,85.0,11750,100.0,11750
4951,0.0,9673,1.0,9673,3.0,9673,25.0,9673
4952,0.0,63195,9.0,63195,3.0,63195,18.0,63195
4953,3.0,115346,3.0,115346,3.0,115346,1.0,115346
4954,1.0,56371,8.0,56371,0.0,56371,5.0,56371
4955,2.0,9223,100.0,9223,9.0,9223,100.0,9223
4956,100.0,194051,100.0,194051,1.0,194051,72.0,194051
4957,7.0,76114,38.0,76114,17.0,76114,100.0,76114
4958,49.0,62507,64.0,62507,86.0,62507,77.0,62507
4959,4.0,49657,17.0,49657,10.0,49657,22.0,49657
4960,100.0,48945,100.0,48945,3.0,48945,3.0,48945
4961,1.0,261681,0.0,261681,1.0,261681,4.0,261681
4962,100.0,58046,27.0,58046,73.0,58046,60.0,58046
4963,23.0,138711,61.0,138711,15.0,138711,15.0,138711
4964,4.0,55224,30.0,55224,5.0,55224,50.0,55224
4965,27.0,111186,100.0,111186,32.0,111186,88.0,111186
4966,19.0,10268,40.0,10268,27.0,10268,100.0,10268
4967,2.0,191480,4.0,191480,1.0,191480,19.0,191480
4968,6.0,11183,11.0,11183,6.0,11183,17.0,11183
4969,100.0,30324,100.0,30324,100.0,30324,100.0,30324
4970,0.0,32319,2.0,32319,0.0,32319,7.0,32319
4971,0.0,39806,8.0,39806,0.0,39806,10.0,39806
4972,56.0,47219,6.0,47219,2.0,47219,5.0,47219
4973,100.0,45224,8.0,45224,2.0,45224,8.0,45224
4974,5.0,11496,92.0,11496,16.0,11496,65.0,11496
4975,100.0,225033,6.0,225033,0.0,225033,1.0,225033
4976,100.0,202710,12.0,202710,7.0,202710,21.0,202710
4977,28.0,216303,27.0,216303,27.0,216303,22.0,216303
4978,3.0,65387,15.0,65387,4.0,65387,36.0,65387
4979,11.0,31470,32.0,31470,12.0,31470,24.0,31470
4980,100.0,192243,32.0,192243,61.0,192243,22.0,192243
4981,6.0,12185,84.0,12185,19.0,12185,100.0,12185
4982,100.0,46388,100.0,46388,100.0,46388,100.0,46388
4983,4.0,196996,2.0,196996,4.0,196996,9.0,196996
4984,100.0,33772,5.0,33772,1.0,33772,3.0,33772
4985,0.0,12886,0.0,12886,0.0,12886,5.0,12886
4986,100.0,194102,100.0,194102,26.0,194102,100.0,194102
4987,7.0,188121,53.0,188121,6.0,188121,25.0,188121
4988,1.0,239285,100.0,239285,10.0,239285,100.0,239285
4989,40.0,199360,23.0,199360,48.0,199360,69.0,199360
4990,20.0,36989,42.0,36989,12.0,36989,15.0,36989
4991,10.0,267485,5.0,267485,6.0,267485,12.0,267485
4992,3.0,9720,1.0,9720,8.0,9720,30.0,9720
4993,8.0,11603,9.0,11603,3.0,11603,3.0,11603
4994,5.0,234008,13.0,234008,4.0,234008,12.0,234008
4995,25.0,9235,47.0,9235,52.0,9235,94.0,9235
4996,2.0,94941,94.0,94941,10.0,94941,71.0,94941
4997,100.0,104111,100.0,104111,60.0,104111,100.0,104111
4998,100.0,203681,100.0,203681,20.0,203681,37.0,203681
4999,8.0,257176,100.0,257176,19.0,257176,100.0,257176
5000,6.0,265007,59.0,265007,28.0,265007,100.0,265007
5001,3.0,189675,3.0,189675,3.0,189675,13.0,189675
5002,80.0,46367,3.0,46367,0.0,46367,11.0,46367
5003,1.0,189225,1.0,189225,1.0,189225,1.0,189225
5004,0.0,10157,14.0,10157,0.0,10157,2.0,10157
5005,41.0,88431,100.0,88431,80.0,88431,100.0,88431
5006,1.0,232076,9.0,232076,2.0,232076,84.0,232076
5007,100.0,54423,100.0,54423,100.0,54423,100.0,54423
5008,64.0,231573,96.0,231573,31.0,231573,60.0,231573
5009,10.0,239143,11.0,239143,18.0,239143,28.0,239143
5010,100.0,11195,41.0,11195,7.0,11195,2.0,11195
5011,0.0,72511,3.0,72511,0.0,72511,9.0,72511
5012,100.0,38352,2.0,38352,8.0,38352,9.0,38352
5013,0.0,45662,2.0,45662,0.0,45662,21.0,45662
5014,100.0,54073,100.0,54073,100.0,54073,100.0,54073
5015,5.0,195986,100.0,195986,7.0,195986,100.0,195986
5016,4.0,129116,4.0,129116,4.0,129116,7.0,129116
5017,100.0,34721,5.0,34721,3.0,34721,7.0,34721
5018,100.0,55232,100.0,55232,39.0,55232,100.0,55232
5019,60.0,202643,100.0,202643,91.0,202643,100.0,202643
5020,56.0,290728,100.0,290728,100.0,290728,100.0,290728
5021,100.0,12306,100.0,12306,33.0,12306,13.0,12306
5022,8.0,240125,35.0,240125,14.0,240125,31.0,240125
5023,100.0,251364,1.0,251364,2.0,251364,1.0,251364
5024,0.0,56808,12.0,56808,0.0,56808,60.0,56808
5025,1.0,190638,1.0,190638,2.0,190638,1.0,190638
5026,58.0,10291,38.0,10291,61.0,10291,41.0,10291
5027,2.0,213117,10.0,213117,5.0,213117,34.0,213117
5028,100.0,214328,44.0,214328,100.0,214328,19.0,214328
5029,4.0,11879,9.0,11879,7.0,11879,14.0,11879
5030,47.0,44136,100.0,44136,50.0,44136,38.0,44136
5031,90.0,221066,100.0,221066,100.0,221066,100.0,221066
5032,25.0,31036,9.0,31036,10.0,31036,12.0,31036
5033,1.0,63615,0.0,63615,1.0,63615,3.0,63615
5034,0.0,215493,36.0,215493,2.0,215493,100.0,215493
5035,100.0,9409,100.0,9409,15.0,9409,12.0,9409
5036,12.0,149351,4.0,149351,4.0,149351,20.0,149351
5037,1.0,174585,0.0,174585,0.0,174585,3.0,174585
5038,0.0,173094,1.0,173094,0.0,173094,1.0,173094
5039,1.0,10946,3.0,10946,0.0,10946,2.0,10946
5040,16.0,285341,22.0,285341,26.0,285341,65.0,285341
5041,89.0,187283,30.0,187283,38.0,187283,26.0,187283
5042,100.0,9327,100.0,9327,100.0,9327,83.0,9327
5043,4.0,267578,3.0,267578,4.0,267578,1.0,267578
5044,100.0,251919,31.0,251919,93.0,251919,57.0,251919
5045,57.0,65145,100.0,65145,73.0,65145,100.0,65145
5046,11.0,10045,43.0,10045,23.0,10045,64.0,10045
5047,4.0,186492,15.0,186492,4.0,186492,13.0,186492
5048,16.0,243924,91.0,243924,32.0,243924,100.0,243924
5049,1.0,136871,100.0,136871,9.0,136871,100.0,136871
5050,7.0,232534,5.0,232534,9.0,232534,8.0,232534
5051,100.0,263491,40.0,263491,75.0,263491,45.0,263491
5052,1.0,265953,1.0,265953,1.0,265953,1.0,265953
5053,2.0,10100,100.0,10100,7.0,10100,100.0,10100
5054,0.0,214543,0.0,214543,0.0,214543,4.0,214543
5055,100.0,226598,71.0,226598,100.0,226598,100.0,226598
5056,100.0,208999,4.0,208999,5.0,208999,1.0,208999
5057,60.0,59495,100.0,59495,67.0,59495,40.0,59495
5058,3.0,193385,2.0,193385,2.0,193385,7.0,193385
5059,0.0,10803,24.0,10803,1.0,10803,23.0,10803
5060,16.0,9798,30.0,9798,37.0,9798,100.0,9798
5061,85.0,198930,100.0,198930,97.0,198930,100.0,198930
5062,37.0,11341,39.0,11341,22.0,11341,16.0,11341
5063,100.0,54927,100.0,54927,10.0,54927,3.0,54927
5064,100.0,12214,100.0,12214,30.0,12214,77.0,12214
5065,100.0,191992,26.0,191992,5.0,191992,44.0,191992
5066,1.0,218219,1.0,218219,1.0,218219,1.0,218219
5067,1.0,11592,0.0,11592,1.0,11592,24.0,11592
5068,64.0,131121,59.0,131121,14.0,131121,42.0,131121
5069,10.0,47608,7.0,47608,10.0,47608,8.0,47608
5070,100.0,61690,89.0,61690,100.0,61690,87.0,61690
5071,8.0,246419,62.0,246419,24.0,246419,50.0,246419
5072,100.0,258407,3.0,258407,1.0,258407,1.0,258407
5073,46.0,211891,100.0,211891,18.0,211891,19.0,211891
5074,100.0,45770,29.0,45770,6.0,45770,47.0,45770
5075,3.0,63642,24.0,63642,24.0,63642,100.0,63642
5076,61.0,48512,76.0,48512,28.0,48512,51.0,48512
5077,100.0,221031,8.0,221031,8.0,221031,6.0,221031
5078,0.0,185894,0.0,185894,0.0,185894,4.0,185894
5079,57.0,270194,100.0,270194,60.0,270194,23.0,270194
5080,6.0,66913,5.0,66913,6.0,66913,7.0,66913
5081,86.0,215997,4.0,215997,4.0,215997,4.0,215997
5082,0.0,58512,2.0,58512,0.0,58512,2.0,58512
5083,0.0,11984,21.0,11984,0.0,11984,22.0,11984
5084,0.0,44660,10.0,44660,1.0,44660,3.0,44660
5085,1.0,82156,2.0,82156,1.0,82156,3.0,82156
5086,1.0,251432,1.0,251432,1.0,251432,1.0,251432
5087,17.0,39700,43.0,39700,19.0,39700,24.0,39700
5088,100.0,276741,100.0,276741,8.0,276741,36.0,276741
5089,0.0,173516,10.0,173516,0.0,173516,2.0,173516
5090,17.0,290992,23.0,290992,25.0,290992,100.0,290992
5091,0.0,10894,1.0,10894,0.0,10894,4.0,10894
5092,100.0,269908,100.0,269908,33.0,269908,40.0,269908
5093,0.0,257159,9.0,257159,0.0,257159,15.0,257159
5094,4.0,28957,3.0,28957,3.0,28957,13.0,28957
5095,8.0,54375,18.0,54375,7.0,54375,29.0,54375
5096,8.0,267445,61.0,267445,9.0,267445,47.0,267445
5097,21.0,220434,25.0,220434,95.0,220434,100.0,220434
5098,100.0,95386,53.0,95386,17.0,95386,27.0,95386
5099,52.0,55134,100.0,55134,85.0,55134,100.0,55134
5100,20.0,12145,84.0,12145,69.0,12145,100.0,12145
5101,100.0,195229,100.0,195229,1.0,195229,27.0,195229
5102,41.0,111916,42.0,111916,17.0,111916,73.0,111916
5103,16.0,283828,5.0,283828,6.0,283828,18.0,283828
5104,0.0,11010,100.0,11010,0.0,11010,90.0,11010
5105,100.0,205900,100.0,205900,33.0,205900,41.0,205900
5106,100.0,32320,22.0,32320,14.0,32320,21.0,32320
5107,100.0,11440,19.0,11440,24.0,11440,3.0,11440
5108,29.0,209889,74.0,209889,43.0,209889,79.0,209889
5109,8.0,64813,24.0,64813,3.0,64813,4.0,64813
5110,46.0,201806,100.0,201806,48.0,201806,82.0,201806
5111,4.0,254149,2.0,254149,2.0,254149,1.0,254149
5112,20.0,100741,36.0,100741,27.0,100741,98.0,100741
5113,4.0,156121,7.0,156121,4.0,156121,2.0,156121
5114,100.0,9975,27.0,9975,23.0,9975,17.0,9975
5115,48.0,11856,3.0,11856,1.0,11856,3.0,11856
5116,46.0,12283,100.0,12283,12.0,12283,3.0,12283
5117,18.0,223424,50.0,223424,34.0,223424,61.0,223424
5118,100.0,253726,12.0,253726,12.0,253726,6.0,253726
5119,2.0,11155,29.0,11155,7.0,11155,89.0,11155
5120,9.0,74956,32.0,74956,2.0,74956,100.0,74956
5121,100.0,196669,85.0,196669,10.0,196669,15.0,196669
5122,0.0,78426,100.0,78426,0.0,78426,100.0,78426
5123,0.0,243726,1.0,243726,0.0,243726,1.0,243726
5124,42.0,118721,100.0,118721,66.0,118721,100.0,118721
5125,1.0,193345,17.0,193345,10.0,193345,57.0,193345
5126,53.0,239707,100.0,239707,73.0,239707,100.0,239707
5127,18.0,208959,10.0,208959,15.0,208959,12.0,208959
5128,100.0,59455,100.0,59455,57.0,59455,41.0,59455
5129,4.0,66316,13.0,66316,14.0,66316,100.0,66316
5130,10.0,231767,100.0,231767,33.0,231767,100.0,231767
5131,5.0,206414,37.0,206414,5.0,206414,67.0,206414
5132,3.0,55925,23.0,55925,3.0,55925,39.0,55925
5133,63.0,11381,8.0,11381,1.0,11381,4.0,11381
5134,1.0,12954,1.0,12954,1.0,12954,14.0,12954
5135,65.0,45026,100.0,45026,68.0,45026,100.0,45026
5136,11.0,200939,28.0,200939,27.0,200939,66.0,200939
5137,25.0,53408,57.0,53408,31.0,53408,30.0,53408
5138,100.0,12407,100.0,12407,100.0,12407,100.0,12407
5139,2.0,55026,6.0,55026,0.0,55026,15.0,55026
5140,0.0,269119,0.0,269119,0.0,269119,0.0,269119
5141,100.0,148611,41.0,148611,11.0,148611,58.0,148611
5142,9.0,255975,100.0,255975,24.0,255975,63.0,255975
5143,9.0,134926,0.0,134926,5.0,134926,3.0,134926
5144,28.0,192411,54.0,192411,0.0,192411,100.0,192411
5145,6.0,63952,18.0,63952,13.0,63952,100.0,63952
5146,26.0,31672,10.0,31672,3.0,31672,8.0,31672
5147,1.0,87246,23.0,87246,0.0,87246,2.0,87246
5148,100.0,44288,100.0,44288,20.0,44288,5.0,44288
5149,25.0,224420,15.0,224420,31.0,224420,33.0,224420
5150,5.0,30433,27.0,30433,17.0,30433,45.0,30433
5151,14.0,38453,22.0,38453,10.0,38453,32.0,38453
5152,9.0,184896,20.0,184896,29.0,184896,100.0,184896
5153,100.0,228403,10.0,228403,46.0,228403,29.0,228403
5154,0.0,234420,4.0,234420,0.0,234420,12.0,234420
5155,10.0,272493,24.0,272493,16.0,272493,75.0,272493
5156,64.0,34759,5.0,34759,6.0,34759,25.0,34759
5157,100.0,66879,100.0,66879,97.0,66879,100.0,66879
5158,2.0,216228,2.0,216228,2.0,216228,3.0,216228
5159,23.0,12391,18.0,12391,3.0,12391,24.0,12391
5160,100.0,51659,100.0,51659,100.0,51659,100.0,51659
5161,34.0,47277,23.0,47277,44.0,47277,46.0,47277
5162,4.0,222327,3.0,222327,4.0,222327,8.0,222327
5163,3.0,149796,0.0,149796,1.0,149796,1.0,149796
5164,3.0,56466,0.0,56466,8.0,56466,30.0,56466
5165,8.0,32727,100.0,32727,4.0,32727,2.0,32727
5166,5.0,9164,2.0,9164,4.0,9164,18.0,9164
5167,100.0,252475,7.0,252475,0.0,252475,0.0,252475
5168,1.0,199031,7.0,199031,2.0,199031,14.0,199031
5169,4.0,56523,12.0,56523,6.0,56523,6.0,56523
5170,14.0,191401,16.0,191401,6.0,191401,2.0,191401
5171,52.0,11552,91.0,11552,65.0,11552,100.0,11552
5172,0.0,222262,0.0,222262,0.0,222262,0.0,222262
5173,1.0,173238,0.0,173238,0.0,173238,0.0,173238
5174,0.0,110716,0.0,110716,2.0,110716,100.0,110716
5175,0.0,256820,100.0,256820,0.0,256820,100.0,256820
5176,2.0,194253,1.0,194253,1.0,194253,1.0,194253
5177,1.0,11102,10.0,11102,1.0,11102,18.0,11102
5178,9.0,223920,100.0,223920,8.0,223920,84.0,223920
5179,1.0,37933,100.0,37933,11.0,37933,100.0,37933
5180,1.0,36621,10.0,36621,3.0,36621,25.0,36621
5181,29.0,67784,97.0,67784,29.0,67784,5.0,67784
5182,100.0,108776,100.0,108776,100.0,108776,100.0,108776
5183,31.0,293890,84.0,293890,10.0,293890,100.0,293890
5184,0.0,74002,0.0,74002,0.0,74002,0.0,74002
5185,70.0,202284,18.0,202284,43.0,202284,23.0,202284
5186,11.0,237430,16.0,237430,26.0,237430,46.0,237430
5187,100.0,10713,100.0,10713,100.0,10713,43.0,10713
5188,100.0,213495,100.0,213495,3.0,213495,6.0,213495
5189,1.0,71200,1.0,71200,1.0,71200,1.0,71200
5190,2.0,242530,3.0,242530,2.0,242530,1.0,242530
5191,100.0,229341,91.0,229341,100.0,229341,100.0,229341
5192,33.0,39311,79.0,39311,33.0,39311,20.0,39311
5193,5.0,197740,1.0,197740,12.0,197740,5.0,197740
5194,72.0,224123,19.0,224123,27.0,224123,35.0,224123
5195,3.0,107616,2.0,107616,0.0,107616,1.0,107616
5196,0.0,173804,2.0,173804,0.0,173804,4.0,173804
5197,35.0,12942,28.0,12942,3.0,12942,16.0,12942
5198,34.0,115781,53.0,115781,48.0,115781,100.0,115781
5199,100.0,117616,100.0,117616,1.0,117616,3.0,117616
5200,3.0,265069,100.0,265069,5.0,265069,100.0,265069
5201,32.0,139251,100.0,139251,42.0,139251,100.0,139251
5202,100.0,11728,4.0,11728,0.0,11728,3.0,11728
5203,1.0,12807,87.0,12807,1.0,12807,100.0,12807
5204,100.0,239654,100.0,239654,100.0,239654,100.0,239654
5205,3.0,29604,2.0,29604,3.0,29604,3.0,29604
5206,4.0,206117,100.0,206117,11.0,206117,100.0,206117
5207,100.0,64278,69.0,64278,1.0,64278,4.0,64278
5208,29.0,61580,80.0,61580,80.0,61580,100.0,61580
5209,100.0,110096,100.0,110096,34.0,110096,100.0,110096
5210,28.0,165196,95.0,165196,11.0,165196,9.0,165196
5211,1.0,10139,2.0,10139,5.0,10139,20.0,10139
5212,8.0,10093,24.0,10093,11.0,10093,16.0,10093
5213,100.0,247548,100.0,247548,11.0,247548,84.0,247548
5214,2.0,245575,100.0,245575,5.0,245575,100.0,245575
5215,46.0,10569,100.0,10569,15.0,10569,16.0,10569
5216,4.0,12554,2.0,12554,2.0,12554,4.0,12554
5217,0.0,9488,2.0,9488,0.0,9488,2.0,9488
5218,12.0,9172,53.0,9172,23.0,9172,62.0,9172
5219,86.0,209061,7.0,209061,20.0,209061,16.0,209061
5220,3.0,193095,1.0,193095,2.0,193095,4.0,193095
5221,100.0,201451,8.0,201451,30.0,201451,13.0,201451
5222,1.0,10640,5.0,10640,2.0,10640,4.0,10640
5223,17.0,208220,0.0,208220,2.0,208220,0.0,208220
5224,0.0,239984,0.0,239984,0.0,239984,4.0,239984
5225,0.0,256070,0.0,256070,0.0,256070,0.0,256070
5226,4.0,213196,20.0,213196,14.0,213196,100.0,213196
5227,100.0,11817,53.0,11817,70.0,11817,100.0,11817
5228,27.0,202292,100.0,202292,33.0,202292,100.0,202292
5229,59.0,39192,8.0,39192,5.0,39192,3.0,39192
5230,5.0,10355,1.0,10355,5.0,10355,16.0,10355
5231,2.0,261616,1.0,261616,1.0,261616,1.0,261616
5232,100.0,33435,100.0,33435,34.0,33435,80.0,33435
5233,100.0,256565,34.0,256565,9.0,256565,78.0,256565
5234,3.0,147321,5.0,147321,9.0,147321,20.0,147321
5235,100.0,132221,100.0,132221,5.0,132221,17.0,132221
5236,100.0,42825,100.0,42825,84.0,42825,100.0,42825
5237,3.0,238679,2.0,238679,6.0,238679,6.0,238679
5238,100.0,198636,1.0,198636,1.0,198636,5.0,198636
5239,32.0,11114,47.0,11114,24.0,11114,75.0,11114
5240,1.0,109521,5.0,109521,1.0,109521,23.0,109521
5241,0.0,33966,100.0,33966,10.0,33966,100.0,33966
5242,100.0,246135,0.0,246135,0.0,246135,0.0,246135
5243,44.0,29038,50.0,29038,24.0,29038,64.0,29038
5244,1.0,231458,36.0,231458,6.0,231458,65.0,231458
5245,1.0,187039,19.0,187039,1.0,187039,20.0,187039
5246,0.0,193304,0.0,193304,0.0,193304,0.0,193304
5247,100.0,236149,0.0,236149,0.0,236149,0.0,236149
5248,100.0,234174,1.0,234174,1.0,234174,1.0,234174
5249,0.0,162741,0.0,162741,1.0,162741,3.0,162741
5250,100.0,276307,100.0,276307,100.0,276307,100.0,276307
5251,16.0,29346,100.0,29346,39.0,29346,96.0,29346
5252,0.0,9719,4.0,9719,0.0,9719,2.0,9719
5253,100.0,10928,100.0,10928,8.0,10928,3.0,10928
5254,11.0,12915,12.0,12915,12.0,12915,9.0,12915
5255,100.0,34574,6.0,34574,4.0,34574,4.0,34574
5256,8.0,190482,56.0,190482,19.0,190482,100.0,190482
5257,30.0,242208,100.0,242208,38.0,242208,100.0,242208
5258,11.0,47959,7.0,47959,11.0,47959,21.0,47959
5259,58.0,55088,100.0,55088,44.0,55088,84.0,55088
5260,5.0,44363,1.0,44363,1.0,44363,3.0,44363
5261,4.0,12503,6.0,12503,45.0,12503,100.0,12503
5262,4.0,286016,9.0,286016,7.0,286016,40.0,286016
5263,0.0,173916,15.0,173916,0.0,173916,14.0,173916
5264,0.0,202103,1.0,202103,1.0,202103,8.0,202103
5265,1.0,12153,9.0,12153,1.0,12153,13.0,12153
5266,3.0,294882,5.0,294882,1.0,294882,5.0,294882
5267,1.0,230072,1.0,230072,1.0,230072,4.0,230072
5268,100.0,266612,33.0,266612,100.0,266612,100.0,266612
5269,1.0,30472,1.0,30472,0.0,30472,8.0,30472
5270,100.0,204487,100.0,204487,100.0,204487,100.0,204487
5271,14.0,144366,9.0,144366,11.0,144366,25.0,144366
5272,11.0,66642,100.0,66642,2.0,66642,100.0,66642
5273,8.0,220072,100.0,220072,15.0,220072,100.0,220072
5274,7.0,45122,39.0,45122,18.0,45122,83.0,45122
5275,5.0,59101,1.0,59101,2.0,59101,1.0,59101
5276,100.0,10247,100.0,10247,100.0,10247,100.0,10247
5277,0.0,229480,100.0,229480,3.0,229480,100.0,229480
5278,11.0,223127,2.0,223127,0.0,223127,2.0,223127
5279,0.0,139986,6.0,139986,0.0,139986,13.0,139986
5280,100.0,50459,100.0,50459,100.0,50459,100.0,50459
5281,59.0,217881,2.0,217881,0.0,217881,3.0,217881
5282,0.0,90311,3.0,90311,0.0,90311,7.0,90311
5283,100.0,52937,100.0,52937,100.0,52937,100.0,52937
5284,17.0,11006,35.0,11006,14.0,11006,37.0,11006
5285,3.0,256924,79.0,256924,4.0,256924,69.0,256924
5286,35.0,127561,79.0,127561,61.0,127561,100.0,127561
5287,3.0,252434,9.0,252434,4.0,252434,12.0,252434
5288,9.0,38691,12.0,38691,17.0,38691,23.0,38691
5289,4.0,39983,8.0,39983,2.0,39983,4.0,39983
5290,0.0,61611,2.0,61611,0.0,61611,29.0,61611
5291,100.0,60903,65.0,60903,17.0,60903,10.0,60903
5292,0.0,213987,0.0,213987,0.0,213987,0.0,213987
5293,1.0,42521,4.0,42521,1.0,42521,11.0,42521
5294,100.0,47723,100.0,47723,2.0,47723,58.0,47723
5295,100.0,36660,100.0,36660,5.0,36660,3.0,36660
5296,2.0,287938,10.0,287938,2.0,287938,52.0,287938
5297,100.0,261641,100.0,261641,73.0,261641,47.0,261641
5298,100.0,65202,100.0,65202,100.0,65202,100.0,65202
5299,6.0,172468,12.0,172468,19.0,172468,35.0,172468
5300,47.0,10752,43.0,10752,67.0,10752,100.0,10752
5301,100.0,242766,100.0,242766,2.0,242766,1.0,242766
5302,50.0,111351,100.0,111351,22.0,111351,100.0,111351
5303,3.0,226077,100.0,226077,5.0,226077,100.0,226077
5304,100.0,12082,16.0,12082,100.0,12082,28.0,12082
5305,48.0,10115,34.0,10115,24.0,10115,15.0,10115
5306,100.0,277582,1.0,277582,0.0,277582,0.0,277582
5307,7.0,11354,11.0,11354,6.0,11354,17.0,11354
5308,0.0,66269,0.0,66269,0.0,66269,13.0,66269
5309,10.0,280443,26.0,280443,14.0,280443,16.0,280443
5310,5.0,103696,100.0,103696,8.0,103696,100.0,103696
5311,4.0,10816,100.0,10816,4.0,10816,100.0,10816
5312,11.0,191657,100.0,191657,25.0,191657,100.0,191657
5313,24.0,192978,3.0,192978,8.0,192978,13.0,192978
5314,4.0,38193,0.0,38193,1.0,38193,1.0,38193
5315,32.0,36861,100.0,36861,75.0,36861,100.0,36861
5316,56.0,203786,10.0,203786,0.0,203786,2.0,203786
5317,1.0,198860,22.0,198860,1.0,198860,44.0,198860
5318,0.0,208963,0.0,208963,0.0,208963,0.0,208963
5319,5.0,9332,9.0,9332,5.0,9332,22.0,9332
5320,3.0,249595,8.0,249595,2.0,249595,34.0,249595
5321,1.0,263484,1.0,263484,1.0,263484,14.0,263484
5322,60.0,247421,100.0,247421,77.0,247421,88.0,247421
5323,15.0,46260,1.0,46260,0.0,46260,1.0,46260
5324,39.0,82091,35.0,82091,6.0,82091,15.0,82091
5325,2.0,84846,51.0,84846,8.0,84846,88.0,84846
5326,0.0,57021,1.0,57021,1.0,57021,7.0,57021
5327,0.0,52223,4.0,52223,0.0,52223,5.0,52223
5328,1.0,11092,0.0,11092,1.0,11092,6.0,11092
5329,14.0,30235,19.0,30235,10.0,30235,12.0,30235
5330,100.0,131071,10.0,131071,29.0,131071,18.0,131071
5331,4.0,233019,2.0,233019,7.0,233019,8.0,233019
