uid,score_t
user_126,77.13159657478673
user_134,46.38932296687319
user_7,21.120402908223568
user_25441,7.949872799095262
user_30,6.624893999246052
user_2019,5.253919951738873
user_13601,5.253919951738873
user_559,4.769923679457157
user_21662,4.728527956564986
user_3554,3.974936399547631
user_8871,3.974936399547631
user_26968,3.974936399547631
user_32484,3.974936399547631
user_595,3.940439963804155
user_1736,3.940439963804155
user_1949,3.940439963804155
user_28382,3.940439963804155
user_323,3.848353806975608
user_100,3.37751996897499
user_19964,3.179949119638105
user_10766,3.1523519710433243
user_25509,3.1523519710433243
user_15091,2.6499575996984204
user_21911,2.6499575996984204
user_28056,2.6269599758694366
user_31282,1.9874681997738155
user_5506,1.795898443255284
user_83,1.5899745598190524
user_99,1.12583998965833
user_550,1.12583998965833
user_180,0.6413923011626014
user_10711,0.6413923011626014
user_20363,0.6413923011626014
user_1471,0.562919994829165
user_2,0
user_3,0
user_4,0
user_5,0
user_6,0
user_8,0
user_9,0
user_10,0
user_11,0
user_12,0
user_13,0
user_14,0
user_15,0
user_16,0
user_17,0
user_18,0
user_19,0
user_20,0
user_21,0
user_22,0
user_23,0
user_24,0
user_25,0
user_26,0
user_27,0
user_28,0
user_29,0
user_31,0
user_32,0
user_33,0
user_34,0
user_35,0
user_36,0
user_37,0
user_38,0
user_39,0
user_41,0
user_42,0
user_43,0
user_44,0
user_45,0
user_46,0
user_47,0
user_48,0
user_49,0
user_50,0
user_51,0
user_52,0
user_53,0
user_54,0
user_55,0
user_56,0
user_57,0
user_58,0
user_59,0
user_60,0
user_61,0
user_62,0
user_64,0
user_66,0
user_68,0
user_69,0
user_71,0
user_72,0
user_74,0
user_75,0
user_77,0
user_78,0
user_79,0
user_80,0
user_81,0
user_82,0
user_84,0
user_85,0
user_86,0
user_87,0
user_88,0
user_91,0
user_92,0
user_95,0
user_96,0
user_97,0
user_101,0
user_102,0
user_103,0
user_104,0
user_105,0
user_106,0
user_107,0
user_108,0
user_109,0
user_112,0
user_113,0
user_116,0
user_117,0
user_118,0
user_119,0
user_120,0
user_121,0
user_122,0
user_123,0
user_124,0
user_125,0
user_127,0
user_128,0
user_129,0
user_130,0
user_131,0
user_135,0
user_136,0
user_137,0
user_138,0
user_139,0
user_140,0
user_141,0
user_142,0
