uid,score_t
user_113,688.0489504365333
user_127,48.71964252526455
user_21088,33.79012655831632
user_1685,33.013023609651384
user_7096,29.73419510188754
user_19552,29.727359725815212
user_141,23.982801291595486
user_14891,22.97347693539484
user_3030,22.797630778122464
user_1352,22.7006459391955
user_2389,22.164756479180866
user_21619,21.879108124120112
user_264,21.698688806644345
user_2573,19.01486739156426
user_21913,16.45970735679557
user_3134,16.373946127598433
user_5119,14.686735369936153
user_905,14.274193273863686
user_1202,14.273186123041134
user_2764,14.141073377537468
user_2967,13.58480082469447
user_2979,12.950321420717117
user_10216,12.702262285114395
user_4977,12.224978306583791
user_189,11.983083758660518
user_4262,11.722581937820074
user_3767,10.882463565609637
user_18591,10.641499381332222
user_961,10.455856050766256
user_4115,10.196558538854088
user_1086,10.081420466525262
user_92,10.045499068644972
user_34329,9.969776829022216
user_68,9.641578816644145
user_25555,9.5726043036191
user_1711,9.512037915259716
user_2995,9.221764457751792
user_173,9.179209606210096
user_248,9.179209606210096
user_18601,9.179209606210096
user_8171,9.088807034907251
user_20833,9.065463365247522
user_2281,8.689043669506063
user_10266,8.567262299129423
user_4835,8.373272812728624
user_25185,8.261288645589087
user_27343,8.261288645589087
user_1383,8.172314265223138
user_100,8.108119173658883
user_4478,7.649341338508413
user_3527,7.4598248695218645
user_2265,7.435159781030179
user_1087,7.331265529366839
user_4177,7.150774982070245
user_4565,7.145192800195092
user_3548,6.855810455887562
user_2200,6.793384764706685
user_2034,6.609030916471269
user_26869,6.549760066845501
user_5381,6.425446724347067
user_7921,6.315022162351913
user_4858,6.3088804610813485
user_2899,6.296701155171925
user_2267,6.252043700170706
user_3699,6.0957426076664385
user_21904,6.058278340098664
user_1677,5.82693908044756
user_4474,5.665914603279702
user_2521,5.548688783901501
user_1849,5.507525763726058
user_1986,5.507525763726058
user_20363,5.507525763726058
user_20767,5.507525763726058
user_21137,5.507525763726058
user_1492,5.470538237649367
user_5147,5.470538237649367
user_5231,5.470538237649367
user_14946,5.410422432840034
user_2273,5.406987243993786
user_2954,5.358894600146319
user_2716,5.157936052640832
user_6283,5.140357379477654
user_1208,5.114131066317054
user_26785,5.094461331446603
user_1000,5.088119528755963
user_26961,5.079785506388699
user_5515,5.048565283415552
user_2444,5.023963687637174
user_4958,5.023963687637174
user_17996,5.023963687637174
user_2488,5.001634960136565
user_2932,5.001634960136565
user_2058,4.923484413884431
user_25000,4.9174337176125515
user_3785,4.845333867632297
user_6169,4.82564162155045
user_29938,4.742591629875217
user_974,4.689032775128029
user_20734,4.689032775128029
user_25835,4.689032775128029
user_28444,4.689032775128029
user_224,4.589604803105048
user_275,4.589604803105048
user_13681,4.587031088136608
user_3506,4.530870955332045
user_3393,4.4951254047279985
user_20070,4.376430590119494
user_2479,4.354101862618885
user_4199,4.283631149564711
user_3992,4.262274025984036
user_11311,4.236114836621345
user_2920,4.220129497615226
user_2927,4.220129497615226
user_3194,4.220129497615226
user_20182,4.220129497615226
user_4243,4.140964009203974
user_1481,4.130644322794543
user_2491,4.130644322794543
user_21514,4.130644322794543
user_2834,4.0749927688612635
user_2645,4.063828405110959
user_6716,4.022976983206434
user_79,4.012625913571842
user_20424,3.9075273126066907
user_25854,3.9075273126066907
user_29708,3.85526803460824
user_2051,3.751226220102424
user_21612,3.751226220102424
user_23697,3.751226220102424
user_1587,3.7382011290604016
user_18581,3.7019449730539615
user_28915,3.6842400376005946
user_119,3.6716838424840383
user_153,3.6716838424840383
user_2014,3.6716838424840383
user_4844,3.6716838424840383
user_5234,3.6716838424840383
user_7346,3.6716838424840383
user_8871,3.6716838424840383
user_20436,3.6716838424840383
user_21212,3.6716838424840383
user_23649,3.6716838424840383
user_31750,3.6716838424840383
user_34830,3.6716838424840383
user_18863,3.6233435080534773
user_7761,3.603044664871105
user_17876,3.5405522766810367
user_20356,3.5405522766810367
user_15171,3.516774581346022
user_19021,3.516774581346022
